1	1	624
3	3	705
5	5	786
7	7	867
8	8	919
6	6	985
4	4	1051
2	2	1117
9	1	1222
10	3	1315
11	5	1397
12	7	1472
13	8	1531
14	6	1601
15	4	1678
16	2	1748
17	1	1820
18	3	1931
19	5	2013
20	7	2088
21	8	2147
22	6	2217
23	4	2294
24	2	2364
25	1	2428
26	3	2547
27	5	2629
28	7	2704
29	8	2763
30	6	2833
31	4	2910
32	2	2980
33	1	3044
34	3	3163
35	5	3245
36	7	3320
37	8	3379
38	6	3449
39	4	3526
40	2	3596
41	1	3660
42	3	3779
43	5	3861
44	7	3936
45	8	3995
46	6	4065
47	4	4142
48	2	4212
49	1	4276
50	3	4395
51	5	4477
52	7	4552
53	8	4611
54	6	4681
55	4	4758
56	2	4828
57	1	4892
59	5	5107
60	7	5182
61	8	5241
62	6	5311
63	4	5388
65	1	5508
66	5	5731
67	7	5813
68	8	5865
69	6	5942
70	4	6012
71	3	6076
72	1	6151
73	5	6374
74	7	6449
75	8	6508
76	6	6578
77	4	6655
78	3	6712
79	1	6794
80	2	6896
81	5	7004
82	7	7079
83	8	7138
84	6	7208
85	4	7285
86	3	7342
87	1	7424
88	2	7489
89	5	7634
90	7	7709
91	8	7768
92	6	7838
93	4	7915
94	3	7972
95	1	8054
96	2	8106
97	5	8264
98	7	8339
99	8	8398
100	6	8468
101	4	8545
102	3	8602
103	1	8684
104	2	8736
105	5	8894
106	7	8969
107	8	9028
108	6	9098
109	4	9175
110	3	9232
111	1	9314
112	2	9366
113	5	9524
114	7	9599
115	8	9658
116	6	9728
117	4	9805
118	3	9862
119	1	9944
120	2	9996
121	5	10154
122	7	10229
123	8	10288
124	6	10358
125	4	10435
126	3	10492
127	1	10574
128	2	10626
129	5	10784
130	7	10859
131	8	10918
132	6	10988
133	4	11065
134	3	11122
135	1	11204
136	2	11256
137	5	11414
138	7	11489
139	8	11548
140	6	11618
141	4	11695
142	3	11752
143	1	11834
144	2	11886
145	5	12044
146	7	12119
147	8	12178
148	6	12248
149	4	12325
150	3	12382
151	1	12464
152	2	12516
153	5	12674
154	7	12749
155	8	12808
156	6	12878
157	4	12955
158	3	13012
159	1	13094
160	2	13146
161	5	13304
162	7	13379
163	8	13438
164	6	13508
165	4	13585
166	3	13642
167	1	13724
168	2	13776
169	5	13934
170	7	14009
171	8	14068
172	6	14138
173	4	14215
174	3	14272
175	1	14354
176	2	14406
177	5	14564
178	7	14639
179	8	14698
180	6	14768
181	4	14845
182	3	14902
183	1	14984
184	2	15036
185	5	15194
186	7	15269
187	8	15328
188	6	15398
189	4	15475
190	3	15532
191	1	15614
192	2	15666
193	5	15824
194	7	15899
195	8	15958
196	6	16028
197	4	16105
198	3	16162
199	1	16244
200	2	16296
201	5	16454
202	7	16529
203	8	16588
204	6	16658
205	4	16735
206	3	16792
207	1	16874
208	2	16926
209	5	17084
210	7	17159
211	8	17218
212	6	17288
213	4	17365
214	3	17422
215	1	17504
216	2	17556
217	5	17714
218	7	17789
219	8	17848
220	6	17918
221	4	17995
222	3	18052
223	1	18134
224	2	18186
225	5	18344
226	7	18419
227	8	18478
228	6	18548
229	4	18625
230	3	18682
231	1	18764
232	2	18816
233	5	18974
234	7	19049
235	8	19108
236	6	19178
237	4	19255
238	3	19312
239	1	19394
240	2	19446
241	5	19604
242	7	19679
243	8	19738
244	6	19808
245	4	19885
246	3	19942
247	1	20024
248	2	20076
249	5	20234
250	7	20309
251	8	20368
252	6	20438
253	4	20515
254	3	20572
255	1	20654
256	2	20706
257	5	20864
258	7	20939
259	8	20998
260	6	21068
261	4	21145
262	3	21202
263	1	21284
264	2	21336
265	5	21494
266	7	21569
267	8	21628
268	6	21698
270	3	21818
271	1	21900
272	2	21952
273	5	22124
274	7	22199
275	8	22258
276	6	22328
277	3	22438
278	1	22513
279	2	22572
280	5	22748
281	7	22830
282	8	22882
283	6	22959
284	4	23029
285	3	23093
286	1	23168
287	2	23227
288	5	23378
289	7	23460
290	8	23512
291	6	23589
292	4	23659
293	3	23723
294	1	23798
295	2	23857
296	5	24008
297	7	24090
298	8	24142
299	6	24219
300	4	24289
301	3	24353
302	1	24428
303	2	24487
304	5	24638
305	7	24720
306	8	24772
307	6	24849
308	4	24919
309	3	24983
310	1	25058
311	2	25117
312	5	25268
313	7	25350
314	8	25402
315	6	25479
316	4	25549
317	3	25613
318	1	25688
319	2	25747
320	5	25898
321	7	25980
322	8	26032
323	6	26109
324	4	26179
325	3	26243
326	1	26318
327	2	26377
328	5	26528
329	7	26610
330	8	26662
331	6	26739
332	4	26809
333	3	26873
334	1	26948
335	2	27007
336	5	27158
337	7	27240
338	8	27292
339	6	27369
340	4	27439
341	3	27503
342	1	27578
343	2	27637
344	5	27788
345	7	27870
346	8	27922
347	6	27999
348	4	28069
349	3	28133
350	1	28208
351	2	28267
352	5	28418
353	7	28500
354	8	28552
355	6	28629
356	4	28699
357	3	28763
358	1	28838
359	2	28897
360	5	29048
361	7	29130
362	8	29182
363	6	29259
364	4	29329
365	3	29393
366	1	29468
367	2	29527
368	5	29678
